85	-90
45	-56
35	-104
75	-55
60	101
77	-91
36	-84
25	-90
82	-97
62	-169
84	-93
62	-95
74	-71
84	-102
55	-31
85	-90
59	-65
75	-85
54	-72
26	-98
25	-99
62	-79
48	50
16	-87
82	-147
54	85
59	119
76	-61
71	-112
70	-96
65	111
66	14
63	107
56	123
67	93
81	147
70	87
86	-92
84	178
43	153
41	92
31	-86
85	0
61	88
76	81
75	-24
76	-10
20	-115
89	-101
70	35
69	-107
40	86
72	-70
71	145
86	177
54	141
36	160
88	-13
64	-73
22	79
32	-101
42	-137
66	-103
17	86
14	91
76	-99
89	129
84	6
44	-113
76	-109
82	154
74	52
86	87
40	61
38	-136
83	128
22	-63
45	-115
56	18
20	-70
80	-24
83	44
79	-157
82	-71
16	-59
88	46
65	110
80	57
73	-111
27	-121
25	-139
84	-40
82	-151
88	106
72	-42
30	-86
55	-150
32	-143
48	68
88	121
57	-100
60	44
63	97
87	-82
65	-1
30	-144
77	-168
60	135
44	-145
68	-102
88	38
90	-100
72	-38
84	-141
55	112
86	-109
30	-113
76	-50
46	-124
29	-91
50	140
83	-138
65	102
13	-172
66	133
60	11
52	-76
46	-168
17	-86
65	86
76	27
65	-61
65	61
90	3
46	138
57	100
90	55
55	-110
90	42
72	-122
45	134
75	68
69	82
72	57
60	68
82	10
48	80
88	125
52	137
28	43
60	-124
52	86
70	86
40	-94
30	-179
67	-84
60	-128
76	-61
45	-96
55	-43
29	-126
31	112
20	-151
69	39
60	138
33	104
55	-141
90	163
40	-54
47	111
22	89
35	-55
55	112
64	34
31	109
76	-93
75	-116
20	90
75	-90
46	114
75	-145
45	117
85	59
32	88
84	19
46	137
82	-134
58	-73
63	63
78	-133
81	-88
86	-124
40	116
59	-110
87	149
35	116
70	-43
83	-100
30	106
90	46
66	144
42	52
49	74
90	132
86	-39
45	67
63	67
68	81
42	-16
60	176
90	60
38	-85
74	100
50	-63
85	-111
82	-144
66	-126
88	-63
50	-60
30	117
73	44
55	-86
79	86
83	-68
84	-127
90	119
80	21
90	89
46	29
56	-109
81	154
39	133
40	142
76	39
85	43
85	135
48	-99
66	57
68	-91
31	-140
88	-73
89	-107
47	96
41	-114
80	135
76	68
60	53
80	69
42	-78
89	-159
80	-57
49	-41
74	71
90	-42
68	-78
71	14
73	-139
82	111
82	85
54	31
86	-135
80	109
14	-80
75	68
89	82
59	132
85	-127
40	171
41	123
51	-89
90	-59
51	-53
72	67
5	78
67	164
85	-48
82	60
30	-15
85	-5
78	128
75	-80
70	70
60	115
20	70
20	105
70	100
55	-125
70	50
70	80
90	-30
80	55
35	-140
70	-110
50	140
18	-20
85	60
55	-75
55	-150
55	-40
75	-105
74	40
65	-140
80	70
40	-115
85	160
78	45
80	-75
20	-30
50	-30
40	-45
80	-30
90	-40
90	-10
50	-165
65	-70
70	50
20	160
20	50
25	155
70	-15
80	125
75	-25
62	63
65	68
60	65
88	0
75	80
90	-30
70	115
35	80
90	100
85	-20
83	-25
70	70
80	80
70	80
40	65
90	15
80	-110
90	80
80	100
35	-125
20	65
70	-45
35	-95
30	-90
62	-28
85	-75
88	-90
45	130
70	15
70	-40
73	27
40	156
33	-5
53	33
